#Timestamp: 2015-10-11-0-56-8
#ExpNumber: 0
#MatrixName: hiddenM
#Dimension: 100*13
#Latent: 13
#RatingRange: 0.00-10.00
0.028,0.295,0.102,0.345,0.542,0.643,0.096,0.604,0.859,0.560,0.798,0.772,0.767
0.315,0.621,0.224,0.126,0.775,0.680,0.514,0.131,0.460,0.343,0.238,0.741,0.207
0.725,0.605,0.095,0.277,0.410,0.075,0.381,0.834,0.022,0.594,0.560,0.627,0.266
0.421,0.655,0.217,0.876,0.402,0.057,0.415,0.077,0.239,0.484,0.120,0.487,0.769
0.812,0.394,0.004,0.560,0.698,0.809,0.824,0.606,0.287,0.278,0.813,0.495,0.523
0.681,0.694,0.061,0.827,0.534,0.002,0.233,0.822,0.214,0.408,0.324,0.507,0.692
0.321,0.581,0.837,0.635,0.164,0.835,0.329,0.535,0.790,0.687,0.324,0.803,0.608
0.776,0.761,0.355,0.549,0.043,0.852,0.550,0.783,0.362,0.518,0.773,0.136,0.174
0.592,0.693,0.511,0.221,0.055,0.726,0.239,0.176,0.094,0.166,0.396,0.455,0.370
0.864,0.646,0.257,0.415,0.446,0.668,0.636,0.288,0.538,0.470,0.765,0.690,0.035
0.571,0.422,0.719,0.855,0.619,0.613,0.459,0.742,0.478,0.129,0.049,0.597,0.346
0.249,0.036,0.026,0.561,0.867,0.420,0.102,0.773,0.360,0.481,0.325,0.761,0.145
0.391,0.647,0.438,0.262,0.162,0.145,0.852,0.543,0.667,0.564,0.662,0.649,0.315
0.683,0.510,0.155,0.467,0.701,0.849,0.605,0.660,0.736,0.857,0.022,0.180,0.401
0.202,0.263,0.480,0.798,0.585,0.091,0.188,0.651,0.342,0.619,0.004,0.862,0.045
0.303,0.532,0.259,0.780,0.151,0.517,0.025,0.024,0.151,0.389,0.733,0.702,0.641
0.007,0.731,0.545,0.463,0.399,0.539,0.738,0.568,0.268,0.778,0.638,0.480,0.297
0.024,0.813,0.855,0.508,0.015,0.389,0.111,0.096,0.874,0.204,0.310,0.051,0.778
0.719,0.552,0.406,0.599,0.405,0.070,0.649,0.415,0.069,0.081,0.380,0.708,0.318
0.212,0.801,0.088,0.349,0.274,0.459,0.646,0.384,0.305,0.477,0.746,0.353,0.344
0.676,0.702,0.148,0.398,0.411,0.273,0.788,0.322,0.220,0.181,0.082,0.676,0.725
0.267,0.343,0.098,0.507,0.174,0.013,0.537,0.036,0.230,0.066,0.316,0.221,0.803
0.657,0.646,0.113,0.015,0.292,0.191,0.841,0.236,0.548,0.614,0.133,0.438,0.837
0.517,0.096,0.369,0.606,0.537,0.798,0.771,0.657,0.708,0.809,0.413,0.659,0.365
0.394,0.187,0.656,0.203,0.701,0.256,0.015,0.085,0.137,0.207,0.099,0.338,0.231
0.066,0.642,0.538,0.074,0.687,0.691,0.842,0.786,0.213,0.704,0.493,0.103,0.494
0.775,0.364,0.005,0.520,0.730,0.385,0.085,0.801,0.736,0.045,0.712,0.030,0.820
0.062,0.570,0.228,0.558,0.414,0.563,0.654,0.162,0.629,0.134,0.749,0.529,0.359
0.059,0.578,0.798,0.395,0.180,0.046,0.296,0.130,0.649,0.617,0.287,0.066,0.731
0.612,0.282,0.271,0.868,0.469,0.153,0.468,0.857,0.705,0.721,0.562,0.395,0.221
0.259,0.192,0.190,0.371,0.068,0.346,0.160,0.813,0.229,0.421,0.086,0.351,0.308
0.848,0.665,0.038,0.422,0.005,0.223,0.432,0.755,0.401,0.002,0.035,0.473,0.380
0.597,0.290,0.509,0.405,0.262,0.738,0.420,0.088,0.261,0.645,0.461,0.669,0.604
0.422,0.808,0.314,0.024,0.591,0.558,0.011,0.548,0.808,0.084,0.218,0.497,0.843
0.735,0.644,0.452,0.566,0.552,0.204,0.596,0.024,0.060,0.118,0.459,0.858,0.676
0.542,0.821,0.534,0.223,0.504,0.612,0.625,0.046,0.267,0.463,0.291,0.032,0.486
0.206,0.291,0.757,0.184,0.417,0.568,0.459,0.752,0.332,0.764,0.417,0.181,0.664
0.849,0.432,0.270,0.784,0.221,0.177,0.823,0.423,0.576,0.399,0.326,0.303,0.261
0.018,0.644,0.482,0.374,0.176,0.874,0.340,0.524,0.343,0.269,0.407,0.677,0.827
0.090,0.179,0.283,0.031,0.294,0.594,0.676,0.669,0.008,0.309,0.103,0.012,0.696
0.381,0.782,0.283,0.643,0.657,0.737,0.532,0.868,0.013,0.590,0.712,0.644,0.161
0.227,0.457,0.345,0.118,0.077,0.644,0.409,0.509,0.262,0.842,0.540,0.319,0.441
0.170,0.579,0.379,0.131,0.871,0.381,0.302,0.191,0.779,0.612,0.843,0.351,0.204
0.271,0.287,0.017,0.776,0.446,0.204,0.202,0.564,0.603,0.055,0.047,0.068,0.858
0.596,0.112,0.682,0.338,0.536,0.454,0.560,0.632,0.537,0.197,0.570,0.246,0.778
0.134,0.619,0.062,0.293,0.848,0.658,0.481,0.576,0.053,0.572,0.466,0.872,0.814
0.770,0.592,0.748,0.314,0.020,0.270,0.319,0.260,0.614,0.449,0.372,0.869,0.026
0.200,0.579,0.676,0.509,0.780,0.580,0.846,0.193,0.060,0.104,0.280,0.425,0.057
0.342,0.068,0.523,0.622,0.787,0.289,0.470,0.680,0.449,0.750,0.461,0.087,0.136
0.523,0.124,0.343,0.277,0.640,0.032,0.212,0.617,0.077,0.589,0.346,0.319,0.096
0.578,0.867,0.578,0.796,0.825,0.190,0.783,0.784,0.834,0.044,0.063,0.233,0.324
0.555,0.264,0.773,0.588,0.173,0.683,0.724,0.761,0.458,0.613,0.200,0.450,0.629
0.667,0.143,0.603,0.388,0.087,0.746,0.694,0.680,0.421,0.549,0.280,0.677,0.407
0.766,0.687,0.260,0.382,0.199,0.239,0.614,0.578,0.344,0.700,0.664,0.120,0.632
0.301,0.729,0.116,0.760,0.015,0.477,0.341,0.422,0.415,0.674,0.865,0.238,0.386
0.001,0.284,0.381,0.635,0.207,0.202,0.043,0.441,0.798,0.729,0.709,0.463,0.132
0.345,0.225,0.741,0.237,0.396,0.267,0.162,0.689,0.553,0.066,0.180,0.736,0.393
0.462,0.004,0.149,0.747,0.231,0.346,0.718,0.865,0.367,0.129,0.366,0.432,0.553
0.809,0.006,0.191,0.823,0.063,0.266,0.544,0.150,0.581,0.241,0.188,0.768,0.093
0.118,0.334,0.063,0.788,0.807,0.602,0.503,0.150,0.265,0.188,0.688,0.858,0.242
0.731,0.039,0.598,0.178,0.726,0.586,0.426,0.415,0.546,0.736,0.600,0.176,0.178
0.569,0.553,0.494,0.173,0.124,0.274,0.730,0.463,0.727,0.870,0.437,0.338,0.771
0.627,0.294,0.381,0.252,0.872,0.784,0.370,0.288,0.011,0.435,0.071,0.062,0.819
0.719,0.348,0.540,0.724,0.053,0.557,0.703,0.048,0.367,0.522,0.469,0.688,0.716
0.720,0.813,0.422,0.064,0.553,0.678,0.665,0.195,0.526,0.021,0.649,0.546,0.360
0.443,0.565,0.533,0.117,0.185,0.725,0.142,0.350,0.447,0.341,0.560,0.379,0.670
0.493,0.383,0.057,0.334,0.655,0.647,0.584,0.421,0.677,0.114,0.814,0.795,0.788
0.496,0.544,0.438,0.278,0.467,0.324,0.014,0.094,0.583,0.593,0.696,0.026,0.550
0.654,0.033,0.368,0.337,0.250,0.500,0.488,0.592,0.549,0.027,0.796,0.512,0.690
0.277,0.008,0.563,0.090,0.592,0.730,0.446,0.192,0.607,0.262,0.770,0.820,0.762
0.162,0.844,0.851,0.029,0.436,0.056,0.355,0.415,0.713,0.447,0.571,0.431,0.385
0.399,0.646,0.611,0.129,0.849,0.714,0.709,0.741,0.092,0.080,0.174,0.348,0.563
0.188,0.717,0.240,0.680,0.635,0.109,0.040,0.226,0.367,0.355,0.118,0.177,0.071
0.295,0.856,0.137,0.257,0.795,0.488,0.388,0.861,0.876,0.582,0.272,0.498,0.570
